ENGLISH SENTENCE,GOLD STANDARD CODE-MIXED SENTENCE
We should seize this opportunity,amader ei opportunity ke sieze kora uchit
Structural measures in Belgium,Belgium e structural measures
We have a quite exciting debate in front of us,Amader front e ekta bhalo exciting debate ache
We cannot avoid this situation,Amira ei situation avoid korte parbo na
These people are looking for temporary shelter,ei lokjon temporary shelter khunjche
in writing The situation in the Gaza Strip is deplorable,in writing Gaza Strip er situation khub i deplorable
I voted against Amendment 81 to totally reject this report,Ami Amendment 81 er biruddhe vote diyechi ei report ta ke totally reject korte
I believe this is a real gesture towards greater transparency,Ami mone kori ei ta bhalo gesture towards greater transparency
"Mr Reul is right, we need many energy sources","Mr Reul right, amader onek energy sources lagbe"
That flexibility will be continued over the coming years,sei flexibility continue hobe coming years gulo te
That really would be the end,seta really end habe
You spoke to us of successes,Tumi amader sathe success er katha bolecho
I would ask you to raise this issue,Ami tomake request korbo ei issue ta raise korte
Continuing security worries have limited assistance efforts so far,Continuing security worries er ekhono porjonto shimito assistance royeche
This brings me to the Commission as a whole,Eita amake Commission e as a whole niye jay
If only this type of practice were never employed,Jodi ei type er practice ta kono din employ kora hoy na
This is not true,eta true noi
I shall close on the issue of cross compliance,Ami cross compliance er issue ta niye shesh korbo
That is genuinely embarrassing,eta to genuinely embarrassing
But today humanitarianism cannot let politics be forgotten,Kintu aajke humanitarianism politics ke bhulte dite parbe na
"rapporteur DE Madam President, that was an interesting debate","rapporteur DE Madam President, eta ekta interesting debate chilo"
IT Mr President I am most grateful to Mr Schulz,IT Mr President ami Mr Schulz er kache bhisgn grateful
Mr President ladies and gentlemen I would reiterate our opposition,Mr President ladies and gentlemen ami amader birodhitar kotha reiterate korte chai
I was the rapporteur for the ERTMS,Ami ERTMS er rapporteur chhilam 
I have two specific questions for Mr Weber,Amar Mr Weber ke duto specific question ache
Preet Lari started being published from there only,Preet Lari publish hoya start hoyechilo shekhan theke
But a hyperbola is very close in formula to this,Kintu ekta hyperbola formula te etar khub close
I needed something to take me out of my pain,amai pain take out korar jonye kichu dorkar chilo
"The state of prices not going up or down, static","Price er state up o jachche na down o jachche na, seta static"
The betel is a delicate palm and needs careful cultivation,betel ekta delicate palm ebong tar careful cultivation lage
Browse the contents of the network,Network er content gulo browse koro
Prompt when an application accesses an open wallet,Prompt korbe jokhon ekta application ekta open wallet access korbe
insert the remaining screws and securely tighten all 6 screws,Insert koro remaining screws aar securely tighten koro sob 6 ta screws
It is called dark matter,Etake dark matter bole
The proximate cause of loss should be fire,Proximate cause of loss fire howa uchit
Enter the first alternative name,Enter korben first alternative name
He had established good relations with Ganesh Shanker Vidyarthi,se Ganesh Shanker Vidyarthi er sathe bhalo relations establish korechhilo
Turn screen off when inactive for,Screen off koro jokhon inactive
He was the authority delegating such powers,Taar power delegate korar authority chhilo
Proper instruction has been issued,Proper instruction issue hoyechhe
By 6 o clock I must reach you there Sir,6 o clock nagad ami apnar kache pouchabo Sir
These may include dung agro wastes forestry residues etc,Ei gulo te dung agro wastes forestry residues etc included thakte pare
These animals are usually white or grey in colour,ei animal gulo usually white ba grey colour er hoi
How can one distinguish the pre 2005 series banknotes,Kivabe ekjon pre 2005 series banknotes guloke distinguish korte pare
Drastic measures should be taken to stop price hike,Drastic measures nibe habe price hike thamate
Select disk to partition,Disk select koro partition korar jonno
Photophobic refers to avoiding light,Photophobic maane light ke avoid kora
Legade now suffers from insomnia and anxiety,Legade now suffer korche insomnia and anxiety te
It was published in Zamana Kanpur in April 1908,Eta Zamana Kanpur e April 1908 e publish hoyechilo
The order of the Foreign Exchange Appellate Board is final,Foreign Exchange Appellate Board er order ta final
Then it is our responsibility to enable them to compete,tahole amader responsibility holo oder compete korte enable kora
That is our Bharatvarsha,Eta amader Bharatvarsha
See you later Esposito,pore dekha habe Esposito
One word of advice,Ekta advice er word
Yeah it is a mess back there,Haan oita ekta mess
"Thank you Captain Philips, Perhaps a nice cup of tea?","Dhonnobad Captain Philips, Ek cup bhalo cha ?"
The gifts received by the North Korean side,North Korear side e pawa gift
You are hereby charged with the murder of a judge advocate general,Tomai hereby charge kora holo judge advocate general er murder er jonno
What time is sunrise?,kon time e sunrise habe?
Ofelia you have to listen to your father,Ofelia tomai tomar babar katha shunte hobe
Bringing someone elses cash into our own pocket is called business,nijer pocket e onyo karo cash ana ke business bole
She didn't pass her driving test,she driving test pass kore ni
But we are not machines,Kintu amra machine noi
Sure let us have dinner with Manager Oh,Thik chalo Manager Oh er sathe dinner kori
So there will be no resistance,Tai kono resistance hobe na
If I told you it might not come true,Jodi ami tomake boltam tahole eta true nao hote parto
Hi Hazel how are you,Hi Hazel kemno acho
If you think youre so brave prove it,Jodi tumi mone koro tumi bhalo brave prove koro
Age is just a state of mind,Age ta bas ekta state of mind
I have dreamed a nightmare,Ami ekta nightmare dekhechi
To be polite that's it,To be polite taholei habe
"Turn around, let me see your face","Turn around, amai tomar face dekhte dao"
He can break into a home and get the job done,se jor kotre ekta room e dhukte paare aar job done korte paare
"Call you in a day or so, okay","tomai call korbo ak diner modhye, okay"
"Wait a minute now Wawawait, Theres no law that says you have to go","ek minute darao Wawawait, kono law bolena je tomai jete habe"
I would just like to know what kind of couple we are,ami sudhu jante chaibo amra ki kind er couple
The pressure its spiking,Pressure ta spiking
Do you think you could meet me somewhere maybe tomorrow morning,"tomar ki mone hoi tumi amai kothao meet korte parbe, hoito kaal morning e"
I was ten years old,amar 10 years boyosh chilo
They forgot to turn off the ambience again,Taara aabar ambience ta turn off korte bhule gechilo
"Jack Crawford is helping your career, isn't he","Jack Crawford tomake career e help korche, na ki"
This is a bad beat,Ei ta ekta kharap beat
So fishers are faced with this enormous problem,Tai jelera ei boro problem er mukhe poreche
That fear seems grossly exaggerated,Eta bhoyti grossly exaggerated lagchhe
A bomb of money which is not being spent,Ekta bomb of money jeta khorcha hoy ni
It is really time to come clean with Turkey,etai really time Turkey er sathe clean aste
If yes then which one,Jodi yes hoi tahole konta
That would not impress the dictator either,Etao dictator ke impress korbe na
All of us are Europe,amra sobai Europe
That is the sort of thing we need to avoid,ei holo emon jinish ja amader avoid korte habe
The Euratom Supply Agency was set up for this reason,Euratom Supply Agency ei reason er jonno set up kora hoyechilo
Are we all thieves,amra ki sobai thieves
Let us ask others also to think about the future,amra baki der keo boli future niye bhabte
It took me 12 hours to get to Strasbourg,amar 12 hours laglo Strasbourg reach korte
But its production requires a fair and competitive return,Kintu tar production er jonno ekta fair o competitive return chai
"Member of the Commission, I could actually repeat the answer","Commission er member, ami actually answer ta repeat korte partam"
The ports employ more than half a million Europeans,Port gulo half a million er besi European der employ kore
Madam President please permit me one more point of order,Madam President please amai permit korun aar ekta point of order er jonye
"And now to Mrs Klass, many thanks for your work","Ar ekhon Mrs Klass ke, tomar kaaj er jonno onek thanks"
This too must be made quite clear,eitao bhalo kore clear korte habe
We see here their sheer hunger for power,amra ekhane dekhi tader power er jonye sheer hunger
Mr President I congratulate the rapporteur on an excellent report,Mr President ami rapporteur ke ekta excellent report er jonno congratulate kori
There simply will not be enough money for energy security,Ekdomi energy security er jonno enough taka thakbe na
We have to be very careful with this process,ei process niye amader khub careful thakte habe
That is our aim,eta amader aim
,
,
,
,
Confessor .. thank you. keu ato praise korle bujhe uthte parina ki bolbo.,Confessor .. thank you. when someone praises like this I can't think what to say.
Arpita .. dekh dekh . Fan following ta dekh tor .,Arpita .. look look . See your fan following .
As if tui korchis,As if you did it
classic joke . e bhabei entertain kore jao .,classic joke . keep entertaining like this .
JU r canteen gulo ajab type r .... Chicken sandwich e Chicken nei ... Egg chowmin e Egg nei ... AC canteen e AC nei .... dabi ta ki ???,JU canteen is of strange type  .... There is no chicken in chicken sandwich ... There is no egg in egg chowmin ... There is no AC in AC canteen .... what is this ??? 
Chiranjit Ghosh tumi ki single ??? ,Chiranjit Ghosh are you single ???
inbox check koro,check inbox
Kritika Dasgupta amar tweets copy kore YD er page e post koreche Kchu public ,Kritika Dasgupta copied my tweets and posted them on YD's page. Some public.
Banna pishi aar mami toh puro hilarious dance kore gelo . Then hotat Pakhi or room e ashe . Or khide peyeche . ,Banna pishi and mami danced hilariously. Then suddenly Pakhi came into the room. She was hungry.
sir result list tule niyechen correction korar janno . Abar kobe list upload hobe ?,sir has taken down the result list for correction. When will the list be uploaded again?
Oh yeah .. I just read ur tweet .. kaal what exam ache ?,Oh yeah .. I just read ur tweet .. tomorrow what exam is there?
"sir , jara sif nominated hoyeche tader next step ki ?","sir, what is the next step for those who have been sif nominated?"
sir ektu please confirm korun je sif er je nominated list ta beriyeche seta ki final na ki er theke aabar selection hobe ?,sir please confirm that if the nominated list of sif is final or there will be another selection?
Koushik Roy fb page e update dieche . Ashol e villain chara story new twist nebe ki kore?,Koushik Roy gave an update on fb page. How will the story take a new twist without the villain?
sir FCI yer nomination September e release korar kono possiblity ache .. do reply sir,sir is there a possibility that FCI nomination will be released on September .. do reply sir
Ami kalker episode ta ei matro download kore dekhlam. tumi kintu kaal picture share korbe.,I just downloaded the episode of yesterday and watched it. But you should share the picture tomorrow.
Ipad ache tomar ?? Ipad e hotstar available . Aditi di use kore .,Do you have an Ipad?? Hotstar is available on Ipad. Aditi di uses it.
ASR er mathae sudhu romance aar romance ghurche.,ASR's mind is only filled with romance and romance.
future niye tension,tension about future
amake ekjon bollo Yes YD television superstar holeo or fan following film star er moto .,"A person told me Yes, even if YD is a television superstar, his fan following is like that of a film star."
yes sunlam jokhon YD dhukchilo tight security chilo .,yes I heard when YD entered there was tight security.
ha sunlam madhumita o chilo . But tumi eto details janle ki kore ?,yes I heard Madhumita was also there. But how do you know so much details?
Aaj ke ki romantic scene hoyeche ??,Was there be a romantic scene today??
ota pore hbe . Maybe technical problem er jonno aage dekhieche .,that will happen later. Maybe it was shown earlier because of a technical problem.
sir eta te name thakle and next PVR and medical clear korte parle ki job confirm ???,"sir, if my name is there, then next PVR and medical are cleared, will the job be confirmed???"
presidency r case ta ki hocche ?,what is the case of presidency?
Today is my Birthday ....... So Please ekta Wish kore diyo ! Tahole aamar birthday ta aro Special hoye jabe !!,Today is my birthday ....... So Please wish me! Then my birthday will be more special!!
"tumi kono chinta korona .. be positive , shob kaaj khub bhalo bhabe hoye jaabe","don't worry .. be positive , everything will be fine"
ami full time maid khunhchi,I am looking for a full time maid
o biye attend korle khub bhalo hoy,It would be great if he attends the wedding
gondo gol er modhhe life is moving on,life is moving on in the midst of chaos
zico ke dekhe mone hoy khub enjoy koreche,I think zico enjoyed it a lot
haan ... cook maid dutoi peye gelam ... thik thak continue korle hoy,"yes ... I got both cook and maid ... if they continue properly, it will be fine"
kalke amader barite ek bondhu asche .. ektu busy thakbo .. next week r plan kora jete pare ..,Tomorrow a friend is coming to our house .. will be a bit busy .. can plan for next week ..
tomar address ta bolo .. landmark,tell me your address .. landmark
haan dekha hobe ... tora ekhon kothay shift korechish ?,"""yes will see you ... where have you shifted now?"""
ami uber book korchi,I am booking an Uber
kaj sesh hole sir ke approach korbo ..,"when the work is finished, I will approach the sir.."
bhalo ache .. khub homework dichhe school theke .. kono rest nei weekend eo onek thake,"She is fine .. school gives a lot of homework .. there is no rest even on weekends"""
"ok . amra 23 jan theke 3rd feb thakbo na , bangladesh jabo to attend marriage of sukla's dadar son . so that period would be out of touch .","ok. We will not be there from 23rd Jan to 3rd Feb, going to Bangladesh to attend the marriage of Sukla's father's son. So that period would be out of touch."
"dada , amar ek bondhu anindita bhattacharya diganta r sathe contact korbe ... o phd kore onek din ekta company te chhilo .. ekhon college er professor","brother, my friend Anindita Bhattacharya will contact Diganta... she did her phd. and worked in a company for a long time... now she is a college professor"
